date,region,category,units,revenue,returning_customer
2026-01-01,North,Technology,4,133.81,true
2026-01-02,North,Technology,5,348.86,true
2026-01-03,West,Essentials,19,272.16,true
2026-01-04,North,Technology,8,220.07,false
2026-01-05,West,Technology,8,269.59,true
2026-01-06,West,Home,6,,true
2026-01-07,North,Essentials,11,457.98,false
2026-01-08,East,Essentials,12,827.03,true
2026-01-09,North,Technology,13,453.28,false
2026-01-10,South,Technology,19,331.08,true
2026-01-11,North,Essentials,10,795.86,false
2026-01-12,West,Technology,9,693.55,true
2026-01-13,East,Essentials,12,771.28,true
2026-01-14,South,Technology,20,1377.44,true
2026-01-15,West,Home,15,1337.74,true
2026-01-16,North,Essentials,11,837.11,false
2026-01-17,East,Essentials,13,369.94,false
2026-01-18,West,Home,7,567.04,false
2026-01-19,East,Essentials,5,156.18,false
2026-01-20,West,Technology,19,,true
2026-01-21,West,Essentials,5,354.76,true
2026-01-22,South,Technology,5,224.64,true
2026-01-23,West,Technology,13,1166.07,false
2026-01-24,North,Technology,18,1227.89,false
2026-01-25,North,Home,11,505.03,false
2026-01-26,East,Technology,1,71.43,true
2026-01-27,South,Essentials,10,411.65,true
2026-01-28,North,Technology,18,671.12,true
2026-02-01,East,Home,4,122.71,true
2026-02-02,North,Essentials,19,1312.69,true
2026-02-03,South,Essentials,18,,true
2026-02-04,West,Essentials,9,760.1,true
2026-02-05,West,Technology,10,626.9,false
2026-02-06,West,Essentials,17,532.72,true
2026-02-07,North,Technology,11,607.26,true
2026-02-08,North,Technology,1,61.23,true
2026-02-09,North,Home,3,52.58,true
2026-02-10,West,Essentials,9,486.54,false
2026-02-11,West,Home,8,214.82,true
2026-02-12,East,Home,14,616.92,true
2026-02-13,North,Home,4,275.2,true
2026-02-14,South,Essentials,8,430.64,true
2026-02-15,South,Home,14,673.19,true
2026-02-16,North,Essentials,15,943.01,true
2026-02-17,South,Essentials,3,131.1,false
2026-02-18,West,Essentials,7,173.89,true
2026-02-19,East,Home,13,445.24,false
2026-02-20,South,Home,5,,true
2026-02-21,North,Technology,19,692.76,true
2026-02-22,West,Technology,19,1590.53,true
2026-02-23,North,Essentials,2,34.69,true
2026-02-24,West,Essentials,8,683.56,true
2026-02-25,North,Technology,19,349.5,false
2026-02-26,South,Technology,9,610.77,true
2026-02-27,West,Essentials,9,579.53,false
2026-02-28,East,Essentials,15,190.9,true
2026-03-01,South,Technology,3,98.06,false
2026-03-02,South,Home,3,102.69,false
2026-03-03,East,Technology,18,1597.33,true
2026-03-04,East,Technology,18,361.44,true
2026-03-05,North,Essentials,9,629.18,true
2026-03-06,East,Technology,9,255.86,false
2026-03-07,East,Technology,7,350.74,true
2026-03-08,West,Home,3,46.32,false
2026-03-09,East,Essentials,5,349.08,false
2026-03-10,North,Essentials,18,321.64,true
2026-03-11,North,Home,18,1033.84,true
2026-03-12,South,Essentials,14,504.62,true
2026-03-13,South,Technology,12,377.56,true
2026-03-14,West,Technology,12,845.51,true
2026-03-15,South,Home,6,83.6,false
2026-03-16,South,Home,14,341.84,true
2026-03-17,North,Home,13,381.55,false
2026-03-18,East,Essentials,12,352.66,true
2026-03-19,East,Home,13,1032.45,false
2026-03-20,West,Technology,12,1062.36,false
2026-03-21,North,Home,1,25.93,false
2026-03-22,North,Technology,2,91.79,false
2026-03-23,North,Home,14,1150.26,true
2026-03-24,North,Technology,9,414.11,true
2026-03-25,West,Essentials,unknown,1032.15,false
2026-03-26,East,Technology,20,1562.9,false
2026-03-27,East,Technology,17,745.53,false
2026-03-28,South,Essentials,10,447.95,false
2026-04-01,East,Home,6,328.43,true
2026-04-02,East,Essentials,10,455.31,false
2026-04-03,West,Home,15,970.48,false
2026-04-04,North,Home,6,313.23,false
2026-04-05,South,Technology,3,108.64,true
2026-04-06,North,Essentials,5,155.49,false
2026-02-30,North,Home,20,886.53,true
2026-04-08,West,Home,13,403.4,true
2026-04-09,West,Essentials,4,102.88,false
2026-04-10,South,Essentials,2,95.21,false
2026-04-11,East,Home,17,1016.38,false
2026-04-12,West,Essentials,18,1260.09,false
2026-04-13,East,Essentials,15,1162.64,false
2026-04-14,West,Technology,17,521.24,false
2026-04-15,East,Essentials,3,99.58,false
2026-04-16,North,Essentials,18,,false
2026-04-17,South,Essentials,5,221.8,false
2026-04-18,West,Home,18,303.42,false
2026-04-19,North,Technology,13,541.71,true
